1;156;297
2;180;233
3;254;111
4;416;-44
5;411;-34
6;352;-12
7;173;237
8;205;163
9;283;38
10;379;-21
11;360;5
12;397;-46
13;387;-35
14;321;-12
15;155;284
16;157;288
17;185;222
18;333;-5
19;392;-52
20;402;-54
21;158;263
22;152;271
23;184;228
24;241;81
25;329;-18
26;361;-38
27;333;-23
28;160;264
29;183;230
30;225;112
31;292;-5
32;363;-62
33;360;-54
34;308;-18
35;162;248
36;178;228
37;196;137
38;263;28
39;240;48
40;328;-38
41;368;-66
42;351;-40
43;280;-13
44;216;131
45;220;82
46;256;38
47;296;-9
48;327;-33
49;262;50
50;205;147
